bioguide_id,name,name_confirm_from_sunlight,in_office,sort
E000298,2020 HON. RON ESTES,,,
E000298,2020 HON. RON ESTES,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
E000296,2020 HON. DWIGHT EVANS,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000465,2020 HON. A. DREW FERGUSON IV,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000467,2020 HON. ABBY FINKENAUER,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
