TITLE (ORIGINAL),Corrected Title,Category
ADMIN STAFF ASSIST. & SCHED.,Administrative Staff Assistant and Scheduling,Administrative staff assistant/scheduler  
ADMINISTRATIVE SPECIALIST (A),Administrative Specialist ,Administrative specialist   
ADVISOR TO THE CHAIRMAN,Advisor to the Chairman,Advisor
ANTITRUST COUNSEL,Antitrust Counsel,Counsel  
ASSISTANT TO CONG. KINGSTON,Assistant to Cong. Kingston,Assistant to the representative
ASSOCIATE ADMIN. COUNSEL,Associate Administrative Counsel,Associate administrator counsel  
ASST CLERK TO PARLIMENTARIAN,Assistant Clerk to Parliamentarian,Assistant clerk
ASST FLOOR CHIEF,Assistant Floor Chief,Assistant floor chief  
ASST LEGISLATIVE CLERK,Assistant Legislative Clerk  ,Assistant legislative clerk  
ASST REGIS & COMP CLERK (A),Assistant Registration and Compliance Clerk ,Assistant registration and compliance clerk   
ASST SGT AT ARMS FLOOR SECURTY,Assistant Sergeant at Arms Floor Security,Assistant sergeant at arms floor securty  
ASST TO CONG WASSERMAN-SCHULTZ,Assistant to Cong. Wasserman-Schultz,Assistant to the representative
ASST TO CONG. ADERHOLT,Assistant to Cong. Aderholt,Assistant to the representative
ASST TO CONG. CALVERT,Assistant to Cong. Calvert,Assistant to the representative
ASST TO CONG. GRANGER,Assistant to Cong. Granger,Assistant to the representative
ASST. TO CONG. EMERSON,Assistant to Cong. Emerson,Assistant to the representative
ASST. TO CONG. WAMP,Assistant to Cong. Wamp,Assistant to the representative
ASST. TO CONG. WOLF,Assistant to Cong. Wolf,Assistant to the representative
BUS OPERATOR,Bus Operator,Bus operator  
BUSINESS CONTINUITY MANAGER,Business Continuity Manager,Manager  
BUSINESS LIAISON,Business Liaison,Liaison  
CALENDAR CLERK,Calendar Clerk,Calendar clerk  
CASEWORK SUPERVISOR,Caseworker Supervisor,Casework supervisor  
CASEWORKER ,Caseworker ,Caseworker   
CASEWORKER DIRECTOR,Caseworker Director,Caseworker director  
CASEWORKER SPECIALIST,Caseworker Specialist,Caseworker specialist  
CASEWORKER SUPERVISOR,Caseworker Supervisor,Caseworker supervisor  
CHIEF FINANCIAL OFFICER,Chief Financial Officer,Chief financial officer  
CHIEF INVESTIGATIVE COUNSEL,Chief Investigative Counsel,Chief investigative counsel  
CHIEF OF STAFF-WASHINGTON DC,Chief of Staff - Washington D.C.,Dc chief of staff
CHIEF TAX COUNSEL,Chief Tax Counsel,Chief counsel  
"CLERK, DEMOCRATIC STAFF","Clerk, Democratic Staff",Clerk
COMMUNICATIONS ADVISOR,Communications Advisor,Communications advisor  
COMMUNICATIONS SPEC (A),Communications Specialist ,Communications specialist   
COMMUNITY OUTREACH,Community Outreach,Community outreach  
CONGRESSIONAL LIAISON,Congressional Liaison,Liaison  
CONGRESSIONAL STAFF ASSISTANT,Congressional Staff Assistant,Staff assistant  
CONSERVATIVE COALITIONS DIRECT,Conservative Coalitions Direct,Director  
CONSTIT RELA REPRESENTATIVE,Constituent Relations Representative,Constituent relations representative  
CONSTITUENT LIASION,Constituent Liaison,Constituent liasion  
CONSTITUENT OUTREACH DIRECTOR,Constituent Outreach Director,Constituent outreach director  
CONSTITUENT OUTREACH REP.,Constituent Outreach Representative,Constituent outreach representative  
CONSTITUENT SERVICE AIDE,Constituent Service Aide,Constituent service aide  
CONSTITUENT SERVICES REP - TWO,Constituent Services Representative - Two,Constituent services representative
CONSTITUENT SERVICES REPRESENT ,Constituent Services Representative ,Constituent services representative  
CONTRACT ADMINISTRATOR,Contract Administrator,Contract administrator  
DC SCHEDULER,D.C. Scheduler,Dc scheduler  
DEP. CHIEF OF STAFF FOR ADMIN.,Deputy Chief of Staff for Administration,Deputy chief of staff
DEPUTY CHIEF CLERK,Deputy Chief Clerk,Deputy chief clerk  
DEPUTY DISTRICT ADMINISTRATOR,Deputy District Administrator,Deputy district administrator  
DEPUTY LEGISLATIVE DIRECTOR,Deputy Legislative Director,Deputy legislative director  
DIR OF INTERGOV’T AFFAIRS,Director of Intergovernmental Affairs,Director
DIRECTOR CONSTITUENT SVC,Director of Constituent Services,Director
DIRECTOR OF ECONOMIC DEVELOPME,Director of Economic Development,Director
"DIRECTOR, CONSTITUENT SERVICES",Director of Constituent Services,Director
DISTRICT COMMUNICATIONS COORD.,District Communications Coordinator,District communications coordinator  
DISTRICT FIELD COORDINATOR,District Field Coordinator,District field director coordinator  
DISTRICT OFFICE ADMINISTRATOR,District Office Administrator,District office administrator  
DISTRICT OFFICE STAFF ASST,District Office Staff Assistant,District office staff assistant  
DISTRICT PROGRAMS COORDINATOR,District Programs Coordinator,District programs coordinator  
DPTY CHF OF STAFF FOR ADMIN,Deputy Chief of Staff for Administration,Deputy chief of staff
ELECTIONS COUNSEL,Elections Counsel,Counsel  
EXECUTIVE ASSISTANT-DISTRICT,Executive Assistant - District,District executive assistant
FINANCE SPECIALIST,Finance Specialist,Finance specialist  
FINANCIAL ANALYST,Financial Analyst,Financial analyst  
FINANCIAL ASSISTANT,Financial Assistant,Financial assistant  
FINANCIAL DIRECTOR,Financial Director,Financial director  
GENERAL COUNSEL ,General Counsel ,General counsel   
GRAPHICS & DESKTOP PUBL SPEC,Graphics and Desktop Publication Specialist,Graphics and desktop publications specialist  
HEALTH POLICY ADVISOR,Health Policy Advisor,Policy advisor  
INFO SYSTEMS SECURITY ANALYST,Information Systems Security Analyst,Information systems security analyst  
INFORMATION SYSTEMS MANAGER,Information Systems Manager,Information systems manager  
INFORMATION SYSTEMS SPECIALIST,Information Systems Specialist,Information systems specialist  
INTERN-FULL COMMITTEE,Intern - Full Committee,Intern
JR LEGISLATIVE ASSOCIATE,Junior Legislative Associate,Junior legislative associate  
JR PROFESSIONAL STAFF MEMBER,Junior Professional Staff Member,Junior professional staff
LA,Legislative Assistant,Legislative assistant
LEGISLATIVE ASSOCIATE,Legislative Associate,Legislative associate  
LEGISLATIVE CLERK,Legislative Clerk,Legislative clerk  
LEGISLATIVE CORRESPONDENT.,Legislative Correspondent,Legislative correspondent  
LEGISLATIVE COUNSEL ,Legislative Counsel ,Legislative counsel   
LEGISLATIVE FELLOW,Legislative Fellow,Legislative fellow  
MAJORITY STAFF DIRECTOR,Majority Staff Director,Staff director  
MEDIA DIRECTOR,Media Director,Media director  
MEMBER SERVICES DIRECTOR,Member Services Director,Member services director  
MILITARY LIAISON,Military Liaison,Liaison  
MINORITY ADMINISTRATIVE AIDE,Minority Administrative Aide,Administrative aide  
MINORITY CHIEF COUNSEL,Minority Chief Counsel,Chief counsel  
MINORITY CHIEF OF STAFF,Minority Chief of Staff,Chief of staff  
MINORITY LEGISLATIVE ASSISTANT,Minority Legislative Assistant,Legislative assistant  
MINORITY PROFESSIONAL STAFF,Minority Professional Staff,Professional staff
MOBILE OFFICE DIRECTOR,Mobile Office Director,Mobile office director  
NETWORK SYSTEMS ENGINEER,Network Systems Engineer,Network systems engineer  
OFFICIAL REPORTER (A),Official Report ,Official reporter   
PARLIAMENTARIAN,Parliamentarian ,Parliamentarian  
PART TIME,Part time,Part time  
PERSONAL ASSISTANT,Personal Assistant,Personal assistant  
PHOTOGRAPHER,Photographer,Photographer  
PRINCIPAL TECHNICAL TRAINER,Principal Technical Trainer,Principal technical trainer  
PROCUREMENT SPECIALIST,Procurement Specialist,Procurement specialist  
PROFESSIONAL STAFF- O & I,Professional Staff - Oversight and Investigations,Professional staff
PROGRAM DIRECTOR,Program Director,Program director  
PROJECTS ASSISTANT,Projects Assistant,Projects assistant  
RECEPTIONIST-STAFF ASST,Receptionist - Staff Assistant ,Receptionist/staff assistant  
REFUND COUNSEL,Refund Counsel,Counsel  
REGIONAL REPRESENTATIVE.,Regional Representative,Regional representative  
REPUBLICAN CHIEF COUNSEL,Republican Chief Counsel,Chief counsel  
S.C. STAFF DIR & CHIEF COUNSEL,Subcommittee Staff Director and Chief Counsel ,Staff director/chief counsel  
SECRETARY,Secretary,Secretary  
SENIOR ACCOUNTANT,Senior Accountant,Senior accountant  
SENIOR EXECUTIVE ASSISTANT,Senior Executive Assistant,Senior executive assistant  
SENIOR FIELD DEPUTY,Senior Field Deputy,Senior field director deputy  
SENIOR LEGISLATIVE ASSISTANT ,Senior Legislative Assistant ,Senior legislative assistant   
SENIOR SOFTWARE SPECIALIST,Senior Software Specialist,Senior software specialist  
SPECIAL PROJECTS COORDINATOR (,Special Projects Coordinator,Special projects coordinator
SPECIAL PROJECTS MANAGER,Special Projects Manager,Special projects manager  
SR CASEWORKER,Senior Caseworker,Senior caseworker  
SR COMMUNITY REPRESENTATIVE,Senior Community Representative,Senior community representative  
SR ELECTRONICS TECH (A),Senior Electronics Technicians ,Senior electronics technical   
SR LEGISLATIVE AIDE,Senior Legislative Aide,Senior legislative aide  
SR MODULAR FURNITURE SPEC.,Senior Modular Furniture Specialist,Senior modular furniture specialist  
SR NETWORK COMM SPEC (A),Senior Network Communications Specialist ,Senior network communication specialist   
SR NETWORK COMM SPECIALIST (A),Senior Network Communications Specialist ,Senior network communication specialist   
SR SYSTEMS ANALYST,Senior Systems Analyst,Senior systems analyst  
SR SYSTEMS SECURITY ENGINEER,Senior Systems Security Engineer,Senior systems security engineer  
SR TELECOMM ADMIN,Senior Telecommunications Administrator,Senior telecommunication administrative  
SR. APPLICATION DBA SPECIALIST,Senior Application DBA Specialist,Senior  application dba specialist  
STAFF ACCOUNTANT (A),Staff Accountant,Staff accountant   
STAFF ASSISTANT - CORRES.,Staff Assistant - Correspondent,Staff assistant/legislative correspondent  
STAFF ASSISTANT - FULL COMMITT,Staff Assistant - Full Committee,Staff assistant
STAFF ASSISTANT-DISTRICT,Staff Assistant - District  ,District staff assistant
STAFF ATTORNEY,Staff Attorney,Staff attorney  
STAFF DIR & CHIEF COUNSEL,Staff Director and Chief Counsel,Staff director/chief counsel  
STATE DIRECTOR,State Director,Director  
SUBCOMMITTEE DIRECTOR,Subcommittee Director,Director  
SUBCOMMITTEE STAFF ASSOCIATE,Subcommittee Staff Associate,Staff associate  
SUMMER ASSOCIATE,Summer Associate,Summer associate  
"SUPERVISOR, CUSTOMER SOL CONS.","Supervisor, Customer Solutions Consultant",Supervisor
TECHNOLOGY SOLUTIONS ENGINEER,Technology Solutions Engineer,Technology solutions engineer  
USER INTERFACE DEVELOPER,User Interface Developer,User interface developer  
VENDOR MGMT COUNSELOR,Vendor Management Counselor,Vendor management counselor  
VISITING COUNSEL,Visiting Counsel,Visiting counsel  
WASHINGTON DIRECTOR,Washington Director,Dc director  
WEBMASTER,Webmaster,Webmaster  
WORKFLOW COORDINATOR,Workflow Coordinator,Workflow coordinator  
ACCOUNTANT,Accountant,Accountant  
AREA COORDINATOR,Area Coordinator,District coordinator  
ASSISTANT DIRECTOR,Assistant Director,Assistant director  
ASSISTANT LEGISLATIVE CLERK,Assistant Legislative Clerk,Assistant legislative clerk  
ASSISTANT TALLY CLERK,Assistant Tally Clerk,Assistant tally clerk  
ASST CHIEF CLERK (DEBATES),Assistant Chief Clerk (Debates),Assistant chief clerk
ASST. TO CONG. PRICE,Assistant to Cong. Price,Assistant to the representative
COMMITTEE PRINTER,Committee Printer,Committee printer  
COMMUNICATIONS,Communications,Communications  
COMMUNITY RELATIONS ASSISTANT,Community Relations Assistant,Community relations assistant  
CONTRACTS ADMINISTRATOR,Contracts Administrator,Contracts administrator  
DIR OF MEMBER SERVICES,Director of Member Services,Director
DIRECTOR OF ADMINISTRATION,Director of Administration,Director
DIRECTOR OF COMMUNITY OUTREACH,Director of Community Outreach,Director
EDITOR II,Editor II,Editor
EXECUTIVE ASSISTANT ,Executive Assistant,Executive assistant   
EXECUTIVE DIRECTOR,Executive Director,Executive director  
FIELD REPRESENTATIVE ,Field Representative ,Field director representative   
HELPDESK TECHNICIAN,Helpdesk Technician,Helpdesk technician  
HUMAN RESOURCES SPECIALIST,Human Resources Specialist,Human resources specialist  
LEGISLATIVE DIRECTOR ,Legislative Director ,Legislative director   
"LEGISLATIVE DIRECTOR, NEMW","Legislative Director, Northeast-Midwest Congressional Coalition",Legislative director
OPERATIONS DIRECTOR,Operations Director,Operations director  
OVERSIGHT COUNSEL,Oversight Counsel,Oversight counsel  
PART-TIME EMPLOYEE ,Part-time Employee ,Part-time employee   
POLICY ASSISTANT,Policy Assistant,Policy assistant  
REPUBLICAN DEPUTY STAFF DIR,Republican Deputy Staff Director,Deputy staff director  
REPUBLICAN STAFF ASSISTANT,Republican Staff Assistant,Staff assistant  
RESEARCHER,Researcher,Researcher  
SECURITY OFFICER,Security Officer,Security officer  
SENIOR CASE MANAGER,Senior Case Manager,Senior case manager  
SENIOR HISTORICAL RESEARCHER,Senior Historical Reseracher,Senior historical researcher  
SENIOR INVESTIGATOR,Senior Investigator,Senior investigator  
SENIOR PROCUREMENT SPECIALIST,Senior Procurement Specialist,Senior procurement specialist  
SPECIAL COUNSEL,Special Counsel,Special counsel  
STAFF ASSISTANT & SYSTEM ADMIN,Staff Assistant and Systems Administrator,Staff assistant/system administrator  
SYSTEMS ANALYST,Systems Analyst,Systems analyst  
TEACHER ASSISTANT,Teacher Assistant,Teacher assistant  
TECHNICAL TRAINER,Technical Trainer,Technical trainer  
TELEPHONE SYSTEMS CONSULTANT,Telephone Systems Consultant,Telephone systems consultant  
WASHINGTON CHIEF OF STAFF,Washington Chief of Staff,Dc chief of staff  
APPOINTMENTS DESK ASSISTANT,Appointments Desk Assistant,Appointments desk assistant  
APPOINTMENTS DESK ASSISTANT(A),Appointments Desk Assistant ,Appointments desk assistant  
ASSISTANT PRESS SECRETARY,Assistant Press Secretary,Assistant press secretary  
ASST JOURNAL CLERK,Assistant Journal Clerk,Assistant journal clerk  
AUDIO SPECIALIST,Audio Specialist,Audio specialist  
CASE MANAGER,Case Manager,Case manager  
CASEWORK ASSISTANT,Caseworker Assistant,Casework assistant  
CHAMBER SUPPORT SVCS STAFF (A),Chamber Support Services Staff ,Chamber support services staff   
CHIEF ADMINISTRATIVE OFFICER,Chief Administrative Officer,Chief administrative officer  
CHIEF ADMINISTRATOR,Chief Administrator,Chief administrator  
"CHIEF OF STAFF, DC OFFICE","Chief of Staff, DC Office",Dc chief of staff
CHIEF OF STAFF-DISTRICT,Chief of Staff - District,District chief of staff
COMMUNICATIONS COORDINATOR,Communications Coordinator,Communications coordinator  
COMMUNICATIONS DIRECTOR ,Communications Director ,Communications director   
COMPUTER SPECIALIST,Computer Specialist ,Computer specialist  
CONGRESSIONAL CASEWORKER,Congressional Caseworker,Congressional caseworker  
CONSTITUENT SERVICES AIDE,Constituent Services Aide,Constituent services aide  
CONSTITUENT SVC REPRESENTATIVE,Constituent Services Representative,Constituent service representative  
DEMOCRATIC PROFESSIONAL ASSIST,Democratic Professional Assistant,Democratic professional assistant  
DIRECTOR OF COMMUNITY RELATION,Director of Community Relations,Director of community relation  
DISTRICT COORDINATOR,District Coordinator,District coordinator  
DISTRICT PROJECT DIRECTOR,District Project Director,District project director  
EDUCATION POLICY ADVISOR,Education Policy Advisor,Policy advisor  
EXEC COMM CLERK,Executive Communications Clerk,Executive communication clerk  
HISTORICAL RESEARCH ASSISTANT,Historical Research Assistant,Research assistant  
INTERNET SYSTEMS ENGINEER,Internet Systems Engineer,Internet systems engineer  
LABOR POLICY ADVISOR,Labor Policy Advisor,Policy advisor  
LEGAL ASSISTANT,Legal Assistant,Legal assistant  
LEGIS STAFF,Legislative Staff,Legislative staff  
LEGISLATIVE COORDINATOR,Legislative Coordinator,Legislative coordinator  
MAJORITY COUNSEL,Majority Counsel,Counsel  
MEDIA LOGISTICS COORDINATOR,Media Logistics Coordinator,Media logistics coordinator  
MEMBER OUTREACH ASST-VICE CHR,Member Outreach Assistant - Vice Chair,Member outreach assistant
NETWORK COMM SPECIALIST,Network Communications Specialist,Network communication specialist  
NETWORK COMMUNICATIONS SPEC,Network Communications Specialist,Network communications specialist  
OFFICE ADMINISTRATOR,Office Administrator,Office administrator  
OFFICE ADMINSTRATOR,Office Administrator,Office adminstrator  
PARKING SECURITY STAFF  ,Parking Security Security Staff (Overtime),Security staff   
PRESS ADVISOR,Press Advisor,Press advisor  
PRINTING CLERK,Printing Clerk,Printing clerk  
PROF STAFF SC ON OVER & INVES,Professional Staff Subcommittee on Oversight and Investigations,Professional staff
REGIS & COMPLIANCE CLERK,Registration and Compliance Clerk,Registration and compliance clerk  
REPUBLICAN COMMUNICATIONS DIR,Republican Communications Director,Communications director  
REPUBLICAN PRESS SECRETARY,Republican Press Secretary ,Press secretary  
RESOURCE ANALYST,Resource Analyst,Resource analyst  
SENIOR LEGISLATION COUNSEL,Senior Legislation Counsel,Senior legislativecounsel  
SENIOR LEGISLATIVE CLERK,Senior Legislative Clerk,Senior legislative clerk  
SENIOR SECRETARY,Senior Secretary,Senior secretary  
SENIOR SYSTEMS ANALYST,Senior Systems Analyst,Senior systems analyst  
SOFTWARE ENGINEER II,Software Engineer II,Software engineer
SR COUNSEL ENVIRONMENT&ENERGY,Senior Counsel Environmental and Energy Subcommittee,Senior counsel
SR CUSTOMER SOLUTIONS REP.,Senior Customer Solutions Representative,Senior customer solutions representative  
SR ELECTRONICS TECH (A)  ,Senior Electronic Technicians ,Senior electronics technician
SR LEGISLATIVE CORRESPONDENT,Senior Legislative Correspondent,Senior legislative correspondent  
SR SOFTWARE ENGINEER,Senior Software Engineer,Senior software engineer  
STAFF ACCOUNTANT,Staff Accountant,Staff accountant  
STAFF DIRECTOR & CHIEF COUNSEL,Staff Director and Chief Counsel,Staff director/chief counsel  
SUMMER ENRICHMENT COUNSELOR,Summer Enrichment Counselor,Summer enrichment counselor  
SYSTEMS MANAGER,Systems Manager,Systems manager  
TECH SOLUTIONS TECHNICIAN,Technology Solutions Technician,Technical solutions technician  
VENDOR MGMT COUNSELOR (A),Vendor Management Counselor,Vendor management counselor   
AUDIO TECHNICIAN,Audio Technician,Audio technician  
BRANCH CHIEF,Branch Chief,Branch chief  
CHIEF INFORMATION OFFICER,Chief Information Officer,Chief information officer  
CHIEF OVERSIGHT COUNSEL,Chief Oversight Counsel,Chief oversight counsel  
CONGRESSIONAL DISTRICT LIAISON,Congressional District Liaison,District liaison  
CONSTITUENT SERVICE MANAGER,Constituent Service Manager,Constituent service manager  
DISTRICT FIELD REPRESENTATIVE,District Field Representative,District field director representative  
DISTRICT OFFICE MANAGER..,District Office Manager,District office manager  
FULL COMMITTEE-INTERN,Full Committee - Intern,Intern  
LAW CLERK,Law Clerk,Law clerk  
PROF STAFF SC- ENERGY & ENVIRO,"Professional Staff, Subcommittee on Energy and Environment",Professional staff
RESOURCE MANAGER,Resource Manager,Resource manager  
SENIOR ASSOCIATE COUNSEL,Senior Associate Counsel,Senior associate counsel  
SENIOR OFFICE COORDINATOR,Senior Office Coordinator,Senior office coordinator  
SENIOR SOFTWARE ENGINEER,Senior Software Engineer,Senior software engineer  
SR EA COUNSELOR,Senior Employment Assistance Counselor,Senior counselor  
TEACHER ASSISTANT (A),Teacher Assistant ,Teacher assistant   
TEMPORARY INTERN,Temporary Intern,Intern  
ADMINISTRATOR,Administrator ,Administrator  
APPLICATION DBA SPECIALIST,Application Database Specialist,Specialist  
ASSISTANT PARLIAMENTARIAN,Assistant Parliamentarian,Assistant parliamentarian  
ASST SYSTEMS ADMINISTRATOR,Assistant Systems Administrator,Assistant systems administrator  
COMMUNITY OUTREACH DIRECTOR,Community Outreach Director,Community outreach director  
CONSTITUENT CASEWORKER,Constituent Caseworker,Constituent caseworker  
DEPUTY CHEIF OF STAFF,Deputy Chief of Staff,Deputy chief of staff  
DEPUTY SCHEDULER,Deputy Scheduler,Deputy scheduler  
DIR OF CONSTITUENT SERVICES,Director of Constituent Services,Director of constituent services  
DIRECTOR OF OUTREACH,Director of Outreach,Director of outreach  
DISTRICT EXECUTIVE ASSISTANT,District Executive Assistant,District executive assistant  
DISTRICT FIELD REP,District Field Representative,Field director representative  
DISTRICT OUTREACH COORDINATOR,District Outreach Coordinator,District outreach coordinator  
ECONOMIC DEVELOPMENT DIRECTOR,Economic Development Director,Economic development director  
EDITOR,Editor,Editor  
HEAD TEACHER (A),Head Teacher ,Head teacher   
INTERN - FULL COMMITTEE,Intern - Full Committee,Intern
LEGISLATION COUNSEL,Legislation Counsel,Legislation counsel  
LEGISLATIVE ANALYST,Legislative Analyst,Legislative analyst  
LEGISLATIVE CORRESPONDENT ,Legislative Correspondent ,Legislative correspondent   
MILITARY LEGISLATIVE ASST,Military Legislative Assistant,Legislative assistant  
MINORITY SR PROFESSIONAL STAFF,Minority Senior Professional Staff,Senior professional staff
POLICY ADVISOR & LEGIS. COUNS.,Policy Advisor and Legislative Counsel,Policy advisor/legislative counsel 
PROCTOR,Proctor,Proctor  
RESEARCH ANALYST,Research Analyst,Research analyst  
RETAIL INVENTORY SPECIALIST,Retail Inventory Specialist,Retail inventory specialist  
SENIOR ACCOUNTANT (A),Senior Accountant ,Senior accountant   
SENIOR STAFF ASSISTANT,Senior Staff Assistant,Senior staff assistant  
SP ASST - DISTRICT,Special Assistant - District,District assistant
SPECIAL PROJECTS DIRECTOR,Special Projects Director,Special projects director  
TECHNICAL DIRECTOR (A),Technical Director ,Technical director   
ACCOUNT MANAGEMENT COUNSELOR,Account Management Counselor,Account management counselor  
ADMINISTRATIVE SPECIALIST,Administrative Specialist,Administrative specialist  
ASSISTANT ENROLLING CLERK,Assistant Enrolling Clerk,Assistant enrolling clerk  
"ASSISTANT, ID SERVICES","Assistant, ID Services",Assistant
CASEWORK SPECIALIST,Casework Specialist,Casework specialist  
COMMUNITY OUTREACH COORDINATOR,Community Outreach Coordinator,Community outreach coordinator  
CONGRESSIONAL REPRESENTATIVE,Congressional Representative,Congressional representative  
CUSTOMER SOLUTIONS CONSULTANT,Customers Solution Consultant,Customer solutions consultant  
DIR OF INFORMATION TECHNOLOGY,Director of Information Technology,Director
FIELD REP & CASEWORKER,Field Representative and Caseworker,Field director representative/caseworker  
MANAGEMENT ANALYST,Management Analyst,Management analyst  
MINORITY STAFF DIRECTOR,Minority Staff Director,Staff director  
PRODUCTION ASSISTANT,Production Assistant,Production assistant  
PROJECT COORDINATOR,Project Coordinator,Project coordinator  
PUBLIC AFFAIRS LIAISON,Public Affairs Liaison,Liaison  
REGIONAL REPRESENTATIVE,Regional Representative,Regional representative  
REPUBLICAN SHARED STAFF,Republican Shared Staff,Staff  
SENIOR LEGISLATIVE COUNSEL,Senior Legislative Counsel,Senior legislative counsel  
SPEECHWRITER,Speechwriter,Speechwriter  
SR NETWORK COMM SPECIALIST,Senior Network Communications Specialist,Senior network communication specialist  
SR PAYROLL & BENS GENERALIST,Senior Payroll and Benefits Generalist,Senior payroll and benefits generalist  
STAFF ASSISTANT - CASEWORKER,Staff Assistant - Caseworker,Staff assistant/caseworker  
TECHNICAL SUPPORT REP (A),Technical Support Representative ,Technical support representative   
AREA REPRESENTATIVE,Area Representative,Area representative  
CASE ASSISTANT,Case Assistant,Case assistant  
CASEWORK DIRECTOR,Caseworker Director Chief Economist,Casework director  
CHIEF ECONOMIST,Chief Economist,Chief economist  
CHIEF OF STAFF ,Chief of Staff ,Chief of staff   
CONSTITUENT SERVICE OFFICER,Constituent Services Officer,Constituent services officer  
CONSTITUENT SERVICES MANAGER,Constituent Services Manager,Constituent services manager  
DEPUTY CLERK,Deputy Clerk,Deputy clerk  
DIRECTOR OF SCHEDULING,Director of Scheduling,Director
FEDERAL LIAISON,Federal Liaison,Liaison  
LEGISLATIVE DIRECTOR & COUNSEL,Legislative Director and Counsel,Legislative director/counsel  
POLICY ANALYST,Policy Analyst,Policy analyst  
PRESS SECRETARY ,Press Secretary ,Press secretary   
PROJECTS DIRECTOR,Projects Director,Projects director  
SALES SPECIALIST,Sales Specialist,Sales specialist  
SCHEDULER ,Scheduler ,Scheduler   
SENIOR PROFESSIONAL STAFF MEM,Senior Professional Staff Member,Senior professional staff
SR INFO SYST. SECURITY ANALYST,Senior Information Systems Security Analyst,Senior information system security analyst  
SR INTERNET SYSTEMS SPECIALIST,Senior Internet Systems Specialist,Senior internet systems specialist  
SR NETWORK COMM SPEC,Senior Network Communications Specialist,Senior network communication specialist  
SR NETWORK SYSTEMS ENGINEER,Senior Network Systems Engineer,Senior network systems engineer  
SR TECH SOLUTIONS ENGINEER,Senior Technology Solutions Engineer,Senior technical solutions engineer  
SR TELECOMMUNICATIONS ADMIN,Senior Telecommunications Administrator,Senior telecommunications administrator  
ADMINISTRATIVE AIDE (C),Administrative Aide ,Administrative aide   
ASSISTANT CLERK,Assistant Clerk,Assistant clerk  
CONSTITUENT SERVICES LIAISON,Constituent Services Liaison,Liaison  
FIELD DIRECTOR,Field Director,Field director director  
LEGAL COUNSEL,Legal Counsel,Legal counsel  
MANAGER,Manager,Manager  
OPERATIONS ASSISTANT,Operations Assistant,Operations assistant  
REPUBLICAN PROF STAFF,Republican Professional Staff,Professional staff
SR POLICY ADVISOR,Senior Policy Advisor,Senior policy advisor  
SR PROFESSIONAL STAFF MEMBER,Senior Professional Staff Member,Senior professional staff
ADMINISTRATIVE DIRECTOR,Administrative Director,Administrative director  
APPOINTMENT DESK ASSISTANT,Appointment Desk Assistant,Appointment desk assistant  
CHIEF,Chief,Chief  
COMMUNICATIONS SPECIALIST,Communications Specialist,Communications specialist  
CONSTIT SVC REPRESENTATIVE,Constituent Services Representative,Constituent service representative  
DEPUTY CHIEF,Deputy Chief,Deputy chief  
DIRECTOR OF SPECIAL PROJECTS,Director of Special Projects,Director
INTERNET SYSTEMS SPECIALIST,Internet Systems Specialist,Internet systems specialist  
NETWORK TECHNICIAN,Network Technician,Network technician  
PAYROLL & BENEFITS ASSISTANT,Payroll and Benefits Assistant,Payroll and benefits assistant  
PUBLIC INFO SPECIALIST (A),Public Information Specialist ,Public information specialist   
REPUBLICAN STAFF DIRECTOR,Republican Staff Director,Staff director  
SENIOR DISTRICT REPRESENTATIVE,Senior District Representative,Senior district representative  
CUSTOMER SOLUTIONS REP.,Customer Solutions Representative,Customer solutions representative  
DEPUTY DIRECTOR,Deputy Director,Deputy director  
DIRECTOR OF NEW MEDIA,Director of New Media,Director
DISTRICT CASEWORKER,District Caseworker,District caseworker  
ELECTRONICS TECHNICIAN (A),Electronics Technician ,Electronics technician   
OUTREACH REPRESENTATIVE,Outreach Representative,Outreach representative  
PROJECT MANAGER,Project Manager,Project manager  
TEACHER AIDE (A),Teacher Aide ,Teacher aide   
TECH SOLUTIONS ENGINEER,Technology Solutions Engineer,Technical solutions engineer  
ACQUISITION COUNSELOR,Acquisition Counselor,Acquisition counselor  
CASEWORK MANAGER,Casework Manager,Casework manager  
CONSTITUENT SERVICE SPECIALIST,Constituent Service Specialist,Constituent service specialist  
DIRECTOR OF OPERATIONS,Director of Operations,Director
JR LEGISLATIVE ASSISTANT,Junior Legislative Assistant,Junior legislative assistant  
LEGISLATIVE COORESPONDENT,Legislative Correspondent,Legislative correspondent  
MAJORITY INTERN,Majority Intern,Intern  
PROFESSIONAL ASSISTANT,Professional Assistnat,Professional assistant  
SR LEGISLATIVE ASST,Senior Legislative Assistant,Senior legislative assistant  
COMMUNICATIONS ASSISTANT,Communications Assistant,Communications assistant  
DIRECTOR,Director ,Director  
FINANCIAL COUNSELOR (A),Financial Counselor ,Financial counselor   
PUBLIC INFORMATION SPECIALIST,Public Information Specialist  ,Public information specialist  
REPUBLICAN INTERN,Republican Intern,Intern
SPECIAL PROJECT COORDINATOR,Special Project Coordinator,Special project coordinator  
SUPERVISOR,Supervisor,Supervisor  
CONSTITUENT SERVICES ASSISTANT,Constituent Services Assistant,Constituent services assistant  
DISTRICT OFFICE MANAGER,District Office Manager,District office manager  
FIELD REPRESENTATIVE CASEWORKE,Field Representative Caseworker,Field director representative/caseworker  
OFFICE COORDINATOR,Office Coordinator,Office coordinator  
