TITLE (ORIGINAL),Corrected Title,Category
DIST POLICY LIAISON/SPEC ASST,District Policy Liaison/Special Assistant,District liaison/special assistant
DIR OF MBR SVCS & BUS OUTREACH,Director of Member Services and Business Outreach,Director
SENIOR MILITARY & DEFENSE ADV,Senior Military and Defense Advisor,Senior advisor
DISTRICT SCHEDULER  ,District Scheduler,District scheduler
LEGISLATIVE ASSIST/GEN COUNCIL,Legislative Assistant/General Counsel,Legislative assistant/general counsel
LEGISLATIVE AIDE/STAFF ASST,Legislative Aide/Staff Assistant,Legislative aide/staff assistant
CONSTITUENT & NATIVE AMERICA,Constituent and Native American Liaison,Liaison
LEGIS ASSIST/ASST COMM DIRECTO,Legislative Assistant/Assistant Communications Director,Legislative assistant/assistant communications director
NORTHERN COUNTIES DIRECTOR,Northern Counties Director,District director
CONSTITUENT RELATIONS COORDINA ,Constituent Relations Coordinator,Constituent relations coordinator
DIRECTOR OF CONSTITUENT RELATI,Director of Constituent Relations,Director
STAFF ASSISTANT/FINANCIAL ADMI,Staff Assistant/Financial Administrator,Staff assistant/financial administrator
LEGISLATIVE COORDINATOR ,Legislative Coordinator,Legislative coordinator
EXECUTIVE DIRECTOR ,Executive Director,Executive director
SENIOR DISTRICT ADVISOR,Senior District Advisor,Senior district advisor
SENIOR CONSTITUENT SERVICES AI,Senior Constituent Services Administrator,Senior constituent services administrator
CONSTIT SVRS DIR & GRANT COOR,Constituent Services Director/Grants Coordinator,Constituent services director/grants coordinator
SPECIAL LEGISLATIVE PROJECTS,Special Legislative Projects,Special legislative projects
CASEWKR/DIST OFC ADMINISTRATOR,Caseworker/District Office Administrator,Caseworker/district office administrator
LEGISLATIVE CORRES/SYSTEMS ADM,Legislative Correspondent/Systems Administrator,Legislative correspondent/systems administrator
LEGISLATIVE ASSOCIATE ,Legislative Associate,Legislative associate
SUPERVISOR/MILIT & VET LIAISON,Supervisor/Military and Veterans Liaison,Supervisor/liaison
SCHEDULER/EXEC ASST/OFC MNGR,Scheduler/Executive Assistant/Office Manager,Scheduler/executive assistant/office manager
DISTRICT LIAISON ,District Liaison,District liaison
LEG DIR/DEP CHIEF OF STAFF,Legislative Director/Deputy Chief of Staff,Legislative director/deputy chief of staff
LEGISLATIVE DIRECTOR/COUNSEL ,Legislative Director/Counsel,Legislative director/counsel
LEGISLATIVE ASSISTANT/PRESS SE ,Legislative Assistant/Press Secretary,Legislative assistant/press secretary
CASEWORK SUPERVISOR/DEP OFC MG,Casework Supervisor/Deputy Office Manager,Casework supervisor/deputy office manager
CONSTIT SVCS SPECIALIST,Constituent Services Specialist,Constituent services specialist
DEPUTY PRESS SECTY/STAFF ASST ,Deputy Press Secretary/Staff Assistant,Deputy press secretary/staff assistant
SCHEDULER/SENIOR ADVISOR,Scheduler/Senior Advisor,Scheduler/senior advisor
D.C. OFFICE MANAGER,D.C. Office Manager,Dc office manager
DISTRICT OFFICE COORDINATOR ,District Office Coordinator,District office coordinator
STAFF ASSISTANT/PRESS,Staff Assistant/Press,Staff assistant/press
CONSTIT. SVCS DIR/GRANTS ADMIN,Constituent Services Director/Grants Administrator,Constituent services director/grants coordinator
LEGIS ASST/CORRESPONDENT,Legislative Assistant/Correspondent,Legislative assistant/correspondent
CHC EXECUTIVE DIRECTOR,Congressional Hispanic Caucus Executive Director,Executive director
DIRECTOR OF PROJECTS & GRANTS,Director of Projects and Grants,Director of projects and grants
LEG ASS/CORRESPONDENCE MANAGER,Legislative Assistant/Correspondence Manager,Legislative assistant/correspondence manager
VETERANS FIELD REPRESENTATIVE,Veterans Field Representative,Field representative
SR STAFF ASST & PRESS ASST ,Senior Staff Assistant and Press Assistant,Senior staff assistant/press assistant
DIR OF IMMIG & EXEC AFFAIRS,Director of Immigration and Executive Affairs,Director
CONSTITUENT SERVICES COORDINAT,Constituent Services Coordinator,Constituent services coordinator
OFFICE MANAGER ,Office Manager,Office manager
FINANCE ADMINISTRATOR,Finance Administrator,Finance administrator
STAFF ASSISTANT &CHIEF ECONOMI,Staff Assistant/Chief Economist,Staff assistant
STAFF ASSISTANT/COUNSEL,Staff Assistant/Counsel,Staff assistant/counsel
SHARED STAFF/REP. JOHN SPRATT,Shared Staff - Rep. John Spratt,Staff
ASSISTANT BUDGET ANALYST,Assistant Budget Analyist,Assistant budget analyst
MINORITY CHIEF OF STAFF ,Minority Chief of Staff,Chief of staff
PROGRAM ANALYST,Program Analyst,Program analyst
COUNSEL ,Counsel,Counsel
DIRECTOR OF INTERNAL COMMUNICA,Director of Internal Communication,Director
DEP DIR OF ED & HUMAN SVS POL ,Deputy Director of Education and Human Services Policy,Deputy director
HIGHER EDUC COUN & SR ADVISOR ,Higher Education Counsel/Senior Advisor,Counsel/senior advisor
REP POL ADV & INVESTIG ANALYST,Republican Policy Advisor/Investigative Analyst,Policy advisor/investigative analyst
PRESS SECRETARY & COMMUNICATIO,Press Secretary and Communications,Press secretary/communications director
SEN DIR FOR SPECIAL PROJECTS,Senior Director for Special Projects,Senior director
LEGIS ASST/ELECTIONS,Legislative Assistant/Elections,Legislative assistant
CHIEF ADMINISTRATOR ,Chief Administrator,Chief administrator
REPUBLICAN LEGISLATIVE STAFF,Republican Legislative Staff,Staff
CLERK/LEGISLATIVE ADV-IA (MAJ) ,Clerk/Legislative Advisor - Majority,Clerk/legislative advocate
REP. SUB. PROFES. STAFF ,Republican Subcommittee Professional Staff,Professional staff
SR DEPUTY CHIEF COUNSEL,Senior Deputy Chief Counsel,Senior deputy chief counsel
FINANCIAL ADMINISTRATOR ,Financial Administrator,Financial administrator
STAFF ASSOCIATE (C) ,Staff Associate,Staff associate
SPECIAL ASSISTANT-MIN-FULL COM,Special Assistant - Minority - Full Committee,Special assistant
PROF STAFF-WATER REOURCES COMM,Professional Staff - Subcommittee on Water Resources and the Environment,Professional staff
"LEG STAFF ASST, AVIATION, MIN",Legislative Staff Assistant - Minority - Subcommittee on Aviation,Legislative staff assistant
