STAFFER NAME (ORIGINAL),STAFFER NAME (STANDARDIZED)
"FREENEY, MALCOLM","FREENEY, MALCOLM"
"FRENCH, CAROL","FRENCH, CAROL"
"FRENCH, CHARLES","FRENCH, CHARLES"
"GAERTNER, LESLIE C.","GAERTNER, LESLIE C."
"GAINES, JULIA W.","GAINES, JULIA W."
"GALLAGHER, RENEE","GALLAGHER, RENEE"
"GALLARDO, JOEL M.","GALLARDO, JOEL M."
"GALLEGOS, JERRY L.","GALLEGOS, JERRY L."
"GALVAN, RICARDO J.","GALVAN, RICARDO J."
"GARAY, GERMAN","GARAY, GERMAN"
"GARNER, NICHOLAS R.","GARNER, NICHOLAS R."
"GARROTT, JAMES M.","GARROTT, JAMES M."
"GASKINS, JAMES R.","GASKINS, JAMES R."
"GATES, TRENA F.","GATES, TRENA F."
"GATES,COREY M","GATES,COREY M"
"GERARDEN,PAUL J","GERARDEN,PAUL J"
"GIPPRICH, CARMELA R.","GIPPRICH, CARMELA R."
"GIZARA, MICHAEL P.","GIZARA, MICHAEL P."
"GOGGINS II, JAMES D.","GOGGINS II, JAMES D."
"GOLDSBOROUGH-LEE, ANGEL M.","GOLDSBOROUGH-LEE, ANGEL M."
"GONZALEZ, ROSARIO D.","GONZALEZ, ROSARIO D."
"GOULD, MICHAEL","GOULD, MICHAEL"
"GRAEUB, ANDREW C.","GRAEUB, ANDREW C."
"GRANAHAN,ELIZABETH A","GRANAHAN,ELIZABETH A"
"GREEN, MITCHELL","GREEN, MITCHELL"
"GREEN,ANDREW L","GREEN,ANDREW L"
"GREENE, CHANTEL T.","GREENE, CHANTEL T."
